Time_day,Conc_ugmL,Dose
0,24.7262,1 mg/kg
1,12.9094,1 mg/kg
3,7.8854,1 mg/kg
7,2.1901,1 mg/kg
21,27.0163,1 mg/kg
22,16.5095,1 mg/kg
24,8.2832,1 mg/kg
28,2.8565,1 mg/kg
0,51.2148,2 mg/kg
1,35.2209,2 mg/kg
3,21.0947,2 mg/kg
7,11.2166,2 mg/kg
14,2.3617,2 mg/kg
21,54.8678,2 mg/kg
22,29.795,2 mg/kg
24,20.4808,2 mg/kg
28,10.8901,2 mg/kg
35,2.1194,2 mg/kg
0,99.9983,4 mg/kg
1,56.4843,4 mg/kg
3,41.1881,4 mg/kg
7,32.4637,4 mg/kg
14,16.2494,4 mg/kg
21,7.2271,4 mg/kg
21,113.6463,4 mg/kg
22,68.0953,4 mg/kg
24,49.6564,4 mg/kg
28,36.8932,4 mg/kg
35,19.5896,4 mg/kg
42,8.0531,4 mg/kg
0,215.4465,8 mg/kg
1,148.1596,8 mg/kg
3,110.1844,8 mg/kg
7,80.271,8 mg/kg
14,42.621,8 mg/kg
21,29.229,8 mg/kg
21,178.7046,8 mg/kg
22,161.8766,8 mg/kg
24,132.834,8 mg/kg
28,104.6974,8 mg/kg
35,70.3987,8 mg/kg
42,47.3378,8 mg/kg
0,412.4674,16 mg/kg
1,262.1756,16 mg/kg
7,163.0234,16 mg/kg
14,120.9521,16 mg/kg
21,68.1293,16 mg/kg
21,441.8723,16 mg/kg
22,322.3612,16 mg/kg
24,239.7359,16 mg/kg
28,188.9492,16 mg/kg
35,145.82,16 mg/kg
42,101.9824,16 mg/kg
0,455.1185,24 mg/kg
1,283.6483,24 mg/kg
3,228.2225,24 mg/kg
7,210.5526,24 mg/kg
14,144.3897,24 mg/kg
21,91.5248,24 mg/kg
21,617.4204,24 mg/kg
22,392.4624,24 mg/kg
24,348.4381,24 mg/kg
28,264.0242,24 mg/kg
35,203.7517,24 mg/kg
42,157.2437,24 mg/kg
