,tissue,f_water,f_lipids,f_proteins,f_f_n_l,f_f_n_pl,f_f_a_pl,f_n_l,f_n_pl,f_a_pl,pH
1,Adipose,0.03,5.87,1.89,0.997,0.0022,0.0006,5.85239,0.012914,0.003522,7.1
2,Bone,0.26,1.82,0.81,0.85,0.11,0.04,1.547,0.2002,0.0728,7
3,Brain,0.79,25.79,0.1,0.39,0.48,0.13,10.0581,12.3792,3.3527,7.1
4,Gut,0.78,0.64,0.21,0.69,0.26,0.05,0.4416,0.1664,0.032,7
5,Heart,0.7,0.74,0.26,0.48,0.43,0.09,0.3552,0.3182,0.0666,7.1
6,Kidney,0.73,0.23,0.29,0.26,0.61,0.13,0.0598,0.1403,0.0299,7.22
7,Liver,0.68,0.36,0.31,0.29,0.59,0.11,0.1044,0.2124,0.0396,7.23
8,Lung,0.74,0.072,0.15,0.51,0.38,0.11,0.03672,0.02736,0.00792,6.6
9,Muscle,0.76,0.099,0.25,0.49,0.42,0.09,0.04851,0.04158,0.00891,6.81
10,Spleen,0.75,0.077,0.31,0.3,0.54,0.15,0.0231,0.04158,0.01155,7
